@rowCount	2000
rastoka	cabinet	SU
rav	average	SU
ravaldá	insure	VT
ravaldasik	insurer	SU
ravalduga	by-laws	SU
ravaldunaf	certain	AQ
ravé	teach	VT
ravlem	word	SU
ravlemak	dictionary	SU
ravlemeem	vocabulary	SU
ravlemolkaf	radical	AQ
rayoligá	perish	VI
razama	crow	SU
razamié	caw	VI
razdá	develop	VT
razeka	plate	SU
razopa	chemistry	SU
razopik	chemist	SU
rea	agglomeration	SU
rebava	wall	SU
recela	stage	SU
redakik	captain	SU
redú	create	VT
reduraf	creative	AQ
redusik	creator	SU
refema	strap	SU
regala	incident	SU
regelta	flour	SU
regrá	trace	VT
regvel	arabesque	SU
reila	high school	SU
rekleda	casserole	SU
rekodaf	sophisticated	AQ
rekola	period	SU
rekolaca	periodical	SU
rekolaf	periodical	AQ
relandé	amuse	VT
relandera	amusement	SU
relatcesik	agitator	SU
relida	pyramid	SU
relingá	commit aggression	VT
relingara	aggression	SU
relingas	aggressive	PA
relingasik	aggressor	SU
relkaca	abhorrence	SU
relmé	betray	VT
relt	muscle	SU
relvá	delete	VT
rem	through	PP
remafif	clear	AQ
remalt	course	SU
remay	weft	SU
remayé	weave	VT
remburé	transport	VT
remel	bromine	SU
remrú	punch	VT
remsuté	translate	VT
remzilira	delivery	SU
rena	love	SU
rená	love	VT
renarú	make love	VI
renas	lover	PA
rendaf	draught	AQ
renta	carpentry	SU
repalé	sigh	VI
repalera	sigh	SU
rera	diagnosis	SU
restali	maxim	SU
retalk	stallion	SU
retik	candidate	AQ
revava	district	SU
reya	blackberry	SU
reyaal	mulberry-tree	SU
reza	beet	SU
rezold	radish	SU
riaf	precious	AQ
riba	cage	SU
ribasusik	goalkeeper	SU
ribiegaf	wonderful	AQ
ribiegon	marvellously	AV
ribuda	cobra	SU
ric	rye	SU
ricol	shark	SU
ricom	spring-mattress	SU
rictá	authorize	VT
rictara	authorization	SU
rictela	authority	SU
rictulokaf	authoritative	AQ
riduratwa	dunning-letter	SU
rielcek	morning	SU
rient	saucer	SU
rieta	idea	SU
rietava	ideal	SU
rietavaf	ideal	AQ
rietova	theory	SU
rietunuca	utopia	SU
rifta	louse	SU
rigavá	erect	VT
rigotaf	fundamental	AQ
rija	pants	SU
rijn	rostrum	SU
rijust	steppe	SU
ringaf	transparant	AQ
rinta	caprice	SU
rinú	thee and thou	VT
rion	seldom	AV
riozaf	nasty	AQ
riozuca	aversion	SU
ripindara	craziness	SU
riska	delta	SU
ristara	tightness of the chest	SU
ristura	administration	SU
risturaf	administrative	AQ
ristusik	administrator	SU
risu	amulet	SU
riulk	Rhine barge	SU
riva	circus	SU
rivla	narcissus	SU
riwe	almost	AV
riwé	be worthy of	VT
riwera	merit	SU
rixeda	tangerine	SU
riz	lung	SU
roatalera	alteration	SU
rob	livelihood	SU
robuda	aureole	SU
roda	chain	SU
rodaf	dry	AQ
rodaxá	distrust	VT
rodaxas	suspicious	PA
rodaxasuca	suspicion	SU
rodj	chess	SU
rodjgá	look askance	VI
rodosten	acceptable	PA
rofavé	overtax	VT
rofavera	abuse	SU
rofaves	erroneous	PA
rofaveson	by mistake	AV
roga	jewel	SU
rogadolesik	jeweller	SU
rogdala	slate	SU
rogilden	audible	PA
roida	splinter	SU
rojú	defend	VT
rojuiken	recommendable	PA
rojula	apology	SU
rojusik	defender	SU
roka	law	SU
rolustes	solvent	PA
rom	orgasm	SU
ronalen	acceptable	PA
rondara	drumming	SU
ronduza	basil	SU
ronef	right	AQ
roneka	east	SU
roneon	on the right	AV
ronkaf	faithful	AQ
rontaf	direct	AQ
rontagentim	rectangle	SU
rontagentimaf	right-angle	SU
rontion	directly	AV
ropé	attend	VT
ropes	careful	PA
ropesik	nurse	SU
ropexe	hospital	SU
ropojaf	confrontational	AQ
roseotan	obtainable	PA
rostaza	monster	SU
rostela	vegetable	SU
rostinttwa	credentials	SU
rotabdiwis	foreseeable	PA
rotaca	bad	SU
rotaf	bad	AQ
rotapstá	curse	VT
rotarapenis	reconcilable	PA
rotatrakus	pessimist	PA
rotatrakusuca	pessimism	SU
roti	be able to	SU
rotir	maybe	AV
rotis	possible	PA
rotoda	inconvenience	SU
roton	badly	AV
rotulis	drinkable	PA
rotuxá	lie	VI
rotuxara	lie	SU
rotuxas	mendacious	PA
rotuxasik	liar	SU
rovansas	accessible	PA
rovidaf	frolic	AQ
roxanhá	chew	VT
rubdá	appeal to	VT
rubiá	print	VT
rubiasik	printer	SU
rubiaxe	printing office	SU
rubixa	drizzle	SU
rucá	file	VT
rucasiki	file	SU
rucka	fern	SU
rude	menu	SU
rudist	chamber	SU
rué	hurry	VT
ruelgá	air	VT
ruft	earthquake	SU
rujá	suppress	VT
rujaal	lilac	SU
rujod	cloud	SU
rukom	water	SU
rukuzaf	subtle	AQ
ruldá	hold	VT
rumel	nickel	SU
rumeugal	childhood	SU
rumgaca	allergy	SU
runda	location	SU
rundara	arrangement	SU
runta	wave	SU
runtama	ripple	SU
runza	fishing-rod	SU
ruolz	ozone	SU
rupé	consult	VT
rupeko	restistance	SU
rupolya	she-bear	SU
rupté	depend	VT
ruptes	dependent	PA
ruse	cigar	SU
ruseta	cigarette	SU
rustolera	watering	SU
rustolesiki	watering-can	SU
rutc	sore	SU
ruxaf	vegetable	AQ
ruyat	alcohol	SU
ruyatakola	alcoholism	SU
ruzadera	assault	SU
ruzek	timbre	SU
rwama	affray	SU
rwamá	be at loggerheads	VT
saá	excite pity	VT
saba	chocolate	SU
sabé	measure	VT
sadj	chisel	SU
sadjá	chase	VT
safta	week	SU
saftaf	weekly	AQ
sagaf	faithful	AQ
saguca	adherence	SU
saipuca	gladness	SU
salk	stuff	SU
salma	frog	SU
salt	current	SU
san-aluboy	fifteen	AN
san-anhustoy	eighteen	AN
san-balemeaf	fourteenth	AQ
san-balemoy	fourteen	AN
san-bareaf	thirteenth	AQ
san-baroy	thirteen	AN
san-lerdoy	nineteen	AN
san-peroy	seventeen	AN
san-taneaf	eleventh	AQ
san-tanoy	eleven	AN
san-tevoy	sixteen	AN
san-toleaf	twelfth	AQ
san-toloy	twelve	AN
sane	folk	SU
saneaksat	October	SU
sanef	popular	AQ
saneg	public	SU
sanegá	announce	VT
sanelia	population	SU
sanerotievik	democrat	SU
sanoy	ten	AN
santa	caress	SU
santá	caress	VT
santaneaksat	November	SU
santolea	dozen	SU
santoleaksat	December	SU
sapaf	coherent	AQ
sarandaxo	waiting-room	SU
sardaf	adolescent	AQ
sardik	adolescent	AQ
savsula	archaism	SU
savsuté	prescribe	VT
saxa	couch	SU
saya	down	SU
sayakaxe	barracks	SU
sayakik	soldier	SU
sayelasiki	muzzle	SU
sayudara	activism	SU
sayudasik	activist	SU
sazda	supposition	SU
sazdaf	hypothetical	AQ
sebeka	wax	SU
sebeká	wax	VT
sedme	according to	PP
sedok	shawl	SU
sekiasik	trainer	SU
sel	fog	SU
selá	look after	VT
selaropik	doctor	SU
selasikionha	chemist's shop	SU
selt	society	SU
seltaf	social	AQ
selteva	socialism	SU
semá	burst	VT
sembel	antimony	SU
semint	clarion	SU
sendá	congratulate	VT
senhá	go down	VI
senhé	lie	VI
sensuca	affluence	SU
seotá	get	VT
seotara	accession	SU
seramon	eagerly	AV
seramuca	enthusiasm	SU
serpega	eel	SU
sersikya	princess	SU
sersikye	prince	SU
sespa	weight	SU
severokelda	airway	SU
severoopa	aeronautics	SU
severosarva	airline	SU
severotcordik	skyjacker	SU
severototara	aviation	SU
severoxo	airport	SU
severoza	airlift	SU
sfi	yam	SU
sfiannu	rheumatism	SU
siabeks	present	SU
siak	perspective	SU
siakraf	perceptible	AQ
sida	ink	SU
sidayaf	terrestrial	AQ
sidj	remorse	SU
sidopa	geology	SU
sidopaf	geological	AQ
sidot	ground-floor	SU
sielcek	evening	SU
sieleldeon	tomorrow evening	AV
sielestura	evening meal	SU
sielkiava	good evening	SU
sielon	in the evening	AV
siké	sabotage	VT
sin	they	PN
sinaf	their	AQ
sinka	food	SU
sinká	feed	VT
sintaf	her	AQ
siput	thirst	SU
siputé	be thirsty	VI
siroda	bindweed	SU
sirta	ball	SU
siskava	praise	SU
siské	hire	VT
siudá	swarm	VI
siuva	spring	SU
sivakuca	abundance	SU
skael	foam	SU
skalé	excuse	VT
skalewé	excuse me	VI
skaltaf	indistinct	AQ
skalté	confuse	VT
skera	lust	SU
skes	exciting	PA
skintuca	routine	SU
skoka	balalaika	SU
skotcá	quiver	VI
skrombol	agouti	SU
skú	execute	VT
skujé	intrigue	VI
skujera	plot	SU
skujesik	intriguer	SU
sladu	cashewnut	SU
sladuaal	mahogany	SU
slakol	mouse	SU
slik	too	AI
sma	biscuit	SU
soá	fold	VT
soaks	fold	SU
soawé	retreat	VI
soist	torrent	SU
sok	condition	SU
soka	state	SU
sokasane	republic	SU
sokí	appear	VI
sokitis	essential	PA
sokra	proboscis	SU
sokuda	rhyme	SU
solgabeyá	saw	VT
solgabeyaks	sawdust	SU
solgabeyasiki	saw	SU
solgesiá	dissociate	VT
soli	team	SU
solkurera	divorce	SU
sollipá	rip	VT
soloksaca	abstraction	SU
soloksaf	abstract	AQ
solokseropa	mathematics	SU
solokson	abstractly	AV
soloksuca	abstraction	SU
solovaf	absurd	AQ
solovuca	absurdity	SU
solpasik	distiller	SU
soltiolté	eradicate	VT
soluma	distance	SU
solzá	roast	VT
solzarté	divide	VT
sona	crown	SU
soná	crown	VT
sorela	adjective	SU
sorelaf	adjectival	SU
soriuca	haste	SU
sorla	sheaf	SU
sorta	licence	SU
sos	albumin	SU
sosakola	albumose	SU
sosina	protein	SU
sostá	insulate	VT
sotcé	stretch	VT
sotcenuca	tension	SU
sowe	slang	SU
soy	anaconda	SU
soyaci	hook	SU
soyor	soft-shelled almond	SU
soyoraal	almond	SU
soyutaf	severe	AQ
soyutik	ascetic	SU
soyutuca	severity	SU
soza	balcony	SU
spaf	intact	AQ
spedol	seal	SU
spikol	yak	SU
sposuca	reputation	SU
sprela	peat	SU
spunté	grate	VT
stajok	apostrophe	SU
staké	massacre	VT
staksa	errand	SU
staksasik	advertiser	SU
staksé	send	VT
staksera	submission	SU
staksesik	sender	SU
stama	linen	SU
stapé	suffice	VT
starka	bench	SU
starkot	small bench	SU
starpaal	avocado-tree	SU
stasik	chauffeur	SU
stivawé	be quiet	VI
stoga	fraction	SU
stona	coping	SU
storka	headlight	SU
storn	tapestry	SU
storná	cover	VT
straga	note	SU
stragá	make a note	VT
stragela	notice	SU
stravok	notion	SU
strumbaf	accidented	AQ
stubé	alarm	VT
stubes	scare-monger	PA
stujera	check	SU
stujesik	guard	SU
stupkik	lunatic	AQ
stute	dance	SU
stuté	dance	VT
stuva	adventure	SU
sudaf	fat	AQ
suesta	snapweed	SU
sugá	strive for	VT
sugara	effort	SU
sugawalk	mourning	SU
sugdá	sign	VT
sugdaks	signature	SU
sugdala	meaning	SU
sugdalá	imply	VT
sugdava	mark	SU
sugdavá	signal	VT
sugdeya	badge	SU
sugduka	shield	SU
suka	wind	SU
suké	blow	VT
sukera	blowing	SU
sukoná	ventilate	VT
sukonasiko	electric fan	SU
sul	fountain	SU
sumepulví	telephone	VT
sumepulvisiki	telephone	SU
sumesuteks	telegram	SU
sumesutesiki	telegraph	SU
sumewisiki	TV	SU
suola	screw	SU
suolasiki	screwdriver	SU
suptaf	lay	AQ
suptik	layman	SU
surk	alarmclock	SU
susik	guard	SU
susta	quiver	SU
suté	compose	VT
suteka	orthography	SU
sutelá	edit	VT
sutelaks	editorial office	SU
sutelara	composition	SU
suteptik	secretary	AQ
suteroteem	literature	SU
suxá	dig	VT
suxaca	cave	AQ
sveri	bird	SU
sverioc	little bird	SU
swalot	column	SU
swava	spirit	SU
swavadrunaropa	psychoanalysis	SU
swavadrunaropaf	psychoanalytic	AQ
swavaf	psychic	AQ
swavakola	psychosis	SU
swavaroperopa	psychiatry	SU
swavaroperopaf	psychiatric	AQ
swavay	mentality	SU
swavopa	psychology	SU
swavopaf	psychological	AQ
swavuca	psyche	SU
ta	da so	CJ
taam	suspender	SU
tabexaf	eminent	AQ
tacé	turn	VT
tadava	continent	SU
tael	moon	SU
tagelton	justly	AV
taksul	rod	SU
taktiz	yucca	SU
tal	money	SU
talá	fly	VI
talga	tooth	SU
talgiwola	tooth-brush	SU
talgopik	dentist	SU
talgukay	lace	SU
talpey	programme	SU
talteka	west	SU
tama	chorus	SU
tamaf	harmonious	AQ
tamava	world	SU
tame	universe	SU
tan	a	AT
tanaca	unit	SU
tanaf	unique	AQ
tanameyá	roll	VT
tanamú	roll	VI
tanboyon	with one accord	AV
tandé	stick	VI
taneaf	first	AQ
taneagadesik	president	SU
taneaksat	January	SU
tanealik	pioneer	AQ
tanealubek	big toe	SU
taneanasbalaf	elder	AQ
taneask	initiative	SU
taneasté	inaugurate	VT
taneastera	beginning	SU
taneatí	preside	VT
taneatisik	chairman	SU
taneaviel	Sunday	SU
taneavielon	on Sundays	AV
taneodaal	primeval forest	SU
taneodaf	primary	AQ
taneon	first	AV
taneor	prototype	SU
tankomaf	monotonous	AQ
tankotaks	aggregate	SU
tankotara	French academic qualification	SU
tanoy	one	AN
tantazukot	uniform	SU
taray	comet	SU
targuca	glamour	SU
tari	crowd	SU
tarizá	dedicate	VT
tarja	favour	SU
tarká	respect	VT
tarkaf	respectful	AQ
tarkuca	respect	SU
taruté	avoid	VT
tasila	guitar	SU
tavera	lesson	SU
tavesik	professor	SU
tavesikya	mistress	SU
tawa	earth	SU
tawaday	country	SU
tawadayik	peasant	SU
tawamidura	agriculture	SU
tawamiduraf	agricultural	AQ
tawamiduropaf	agricultural	AQ
tawamiduropik	agronomist	SU
tawamidusik	farmer	SU
tawavaf	terrestrial	AQ
tawavo	territory	SU
tawavopa	geography	SU
tawavopaf	geographic	AQ
tawetc	terrace	SU
tawopa	agronomics	SU
tawova	field	SU
taxa	bravely	SU
taya	field	SU
tayi	cloth	SU
tazá	boycott	VT
tazuk	form	SU
tazuká	form	VT
tazukoy	formula	SU
tazukoyé	articulate	VT
tca	trick	SU
tcabanhé	chase	VT
tcabanhera	hunt	SU
tcabanhesik	hunter	SU
tcaf	artificial	AQ
tcala	watermark	SU
tcatexo	bathroom	SU
tcazaf	dear	AQ
tcazé	reflect	VT
tcazedaks	reflection	SU
tceka	arrow	SU
tcepá	gallop	VI
tciamaf	affected	AQ
tcicesik	assistant	SU
tcilaxe	museum	SU
tcilk	essay	SU
tciné	solve	VT
tcinera	solution	SU
tciugo	hawkbit	SU
tciumba	sand	SU
tcobá	operate	VT
tcobara	operation	SU
tcoké	watch	VT
tcol	pheasant	SU
tcor	cheek	SU
tcotá	shiver	VI
tcoza	shed	SU
tcubda	mica	SU
tcuga	hymen	SU
tculk	volcano	SU
tcumivaf	insubordinate	AQ
tcumpaf	famous	AQ
tcunaca	deformity	SU
tcunaf	crippled	AQ
tcunik	sufferer	AQ
tcunuca	weakness	SU
tcuxa	verdict	SU
tegi	act	SU
tegilak	share-capital	SU
tegilik	shareholder	SU
tegira	share	SU
tegirá	drive	VT
tegiraf	active	AQ
tegirik	assets	AQ
tegiruca	activity	SU
tegis	active	PA
tegivsutesik	notary	SU
tegulá	agitate	VT
tegulara	commotion	SU
telaf	above-board	AQ
teliz	article	SU
telvung	shutter	SU
tema	complaint	SU
temé	complain	VT
temesik	accuser	SU
tena	term	SU
tenanteyá	extinguish	VT
teneká	conduct	VT
tenekara	regulations	SU
teniskaf	everlasting	AQ
tenkaf	acerbic	AQ
tenon	at last	AV
tenú	stop	VT
tenuké	finish	VT
tenukenaf	perfect	AQ
tenuwé	come to an end	VI
teraf	elastic	AQ
terca	-hrysanthemum	SU
teri	bacillus	SU
terigé	crawl	VI
terktá	listen	VT
terktasik	listener	SU
terktasikeem	audience	SU
term	film	SU
termil	salmon	SU
tev-sanoy	sixtieth	AN
teveaksat	June	SU
teveaviel	Friday	SU
tevoy	six	AN
tex	palm	SU
tey	fire	SU
teyé	flame	VI
teyka	flame	SU
teyxo	hearth	SU
teza	model	SU
tezodá	model	VT
tí	zanugalaf be on duty	AQ
tialt	pimple	SU
tiannaf	rigid	AQ
tiavé	suggest	VT
tidepitá	shrug	VI
tidlaní	ascend	VT
tidtalá	take wing	VI
tiduk	aplomb	SU
tidumá	climb	VI
tie	gas	SU
tienaf	lynx-eyed	AQ
tiguaf	gaunt	AQ
tij	moss	SU
tila	attitude	SU
tilbu	heresy	SU
tildera	holiday	SU
tilderugal	spare time	SU
tildewé	repose	VI
tildewera	calm	SU
tildexe	resting-place	SU
tilerda	torch	SU
tilik	pattern	SU
tinefká	communiceren	VI
tinefkara	communion	SU
tinida	larder	SU
tinté	whisper	VT
tiojesiki	handkerchief	SU
tiolté	abstract	VT
tiorn	pie	SU
tipaf	bitter	AQ
tipoké	shave	VT
tipu	hygiene	SU
tipuf	hygienic	AQ
titická	define	VT
titickaf	fixed	AQ
titosipé	cast off	VT
tiú	manoeuvre	VT
tiv	boat	SU
tixolaf	discreet	AQ
tixulé	flirt	VI
tiyá	articulation	VT
tiyara	pronouncing	SU
tizuca	violence	SU
toa	leaf	SU
toba	glove	SU
tod	affair	SU
toidesik	spy	SU
tok	what kind of	AI
toka	grub	SU
tokcoba	what	PN
toklize	where	AV
tokoda	quantity	SU
tokon	vil ? how are	you?
tokote	how many	AV
toktan	who	PN
tokte	abashment	SU
tokviele	when	AV
tol-decemoy	two hundred	AN
tol-saneaf	twentieth	AQ
tol-sanoy	twenty	AN
tolaskí	remake	VT
tolaskira	repetition	SU
tolawí	reappear	VI
tolbelí	read again	VT
toleaf	second	AQ
toleaksat	February	SU
toleaviel	Monday	SU
toleavielon	on Mondays	AV
toleodaf	accessory	AQ
tolgení	invade	VT
tolkalí	repeat	VT
tolke	infinitely	AV
tolkrafol	bicycle	SU
toln	kerosene	SU
tologay	binoculars	SU
tologe	pair	SU
tolokik	par	AQ
tolveynasbeikya	greatgranddaughter	SU
tolveynasbeikye	greatgrandson	SU
tolveynutikya	grand-niece	SU
tolveynutikye	grand-nephew	SU
tolwá	earn back	VT
tolwí	see again	VT
toma	occasion	SU
ton	at	PP
tori	by	PP
torigí	consider	VT
torkeva	fascism	SU
torkik	dictator	SU
torsta	thorn	SU
tota	ship	SU
totá	navigate	VI
totarajoya	waterway	SU
totasik	sailor	SU
totcidaf	avaricious	AQ
toteem	fleet	SU
tourka	pond	SU
tovok	partridge	SU
tovol	rat	SU
towá	develop	VI
toz	guyundé set going	VI
toza	beginning	SU
tozekik	bandit	AQ
tozú	begin	VT
tra	arc	SU
trabiangon	comfortably	AV
trak	pansy	SU
trakopa	philosophy	SU
trakú	think	VT
tral	electricity	SU
tralaf	electric	AQ
traliaxe	exchange	SU
tralo	electron	SU
tranodaf	careful	AQ
tranoduca	discretion	SU
trapamaal	peanut	SU
trapova	pavilion	SU
trasí	find	VT
traspú	flow	VI
trayka	chest	SU
tredú	pick	VT
trelaf	brief	AQ
tresenikya	hooker	SU
tresera	prostitution	SU
tresexe	brothel	SU
tresiki	pick-axe	SU
tride	ray	SU
trideks	streak	SU
tridenaf	striated	AQ
triguca	prosperity	SU
triln	marble	SU
trink	beam	SU
tritaf	stringent	AQ
triva	glass	SU
troba	sin	SU
trobá	sin	VI
trobasik	sinner	SU
trobindá	give up	VT
troci	bugle	SU
trogarn	expression	SU
tronká	braid	VT
tropa	helix	SU
troskol	hippo	SU
trovgá	overthrow	VT
troyta	flower bed	SU
truga	drum	SU
truk	prospectus	SU
trula	watch	SU
trulaveel	needle	SU
trulonha	watchmaker	SU
trumá	care about	VT
trumaf	attentive	AQ
trumi	wheelbarrow	SU
trumuca	attention	SU
truza	abdomen	SU
tsage	poppy	SU
tsay	boa	SU
tselka	spanner	SU
tselkot	keyboard	SU
tsent	broom	SU
tsenté	sweep	VT
tso	ion	SU
tsuné	object	VT
tsunesikeem	opposition	SU
tsurk	chorus	SU
tuabdá	irrigate	VT
tuatrisá	grow	VT
tubalká	automate	VT
tubaspesá	feed	VT
tubecá	reason	VT
tubelkusas	oppressive	PA
tubertrawé	tan	VI
tubi	coat	SU
tublafotawé	yellow	VI
tubliá	animate	VT
tubliara	animation	SU
tuboná	stultify	VT
tubonawé	become dull	VI
tuca	fantasy	SU
tudala	blister	SU
tuebeltá	blacken	VT
tuesá	complicate	VT
tufa	fortune	SU
tufedá	refresh	VT
tufentá	deaden	VT
tufentasiko	refrigerator	SU
tufentawé	catch cold	VI
tugabentá	afflict	VT
tugadiá	prepare	VT
tugalá	cure	VT
tugemá	refine	VT
tuglagá	blunt	VT
tugoá	grind	VT
tugoasik	miller	SU
tugoasiko	mill	SU
tugol	albatross	SU
tuidulara	heating	SU
tuidulasiko	primus	SU
tuivú	fart	VI
tuivura	fart	SU
tujbora	service	SU
tujdé	preach	VT
tujpastik	monk	SU
tujradik	bishop	SU
tukará	clean	SU
tuke	thanks to	PP
tukerawé	blush	VI
tuklarmá	pervert	VT
tukográ	dishevel	SU
tukotrá	fill	SU
tukrenugas	emotional	PA
tulidawickawé	acclimate	VI
tulivá	bend	VT
tuloadastirbá	aggravate	VT
tulodabrotcá	lengthen	VT
tulodontiná	elevate	VT
tulogijá	increase	VT
tulogijara	increase	SU
tulokaliara	acceleration	SU
tulokalias	accelerative	PA
tulolistá	embellish	VT
tulon	for example	AV
tulopiná	decrease	VT
tulopoá	amplify	VT
tulopoasiki	amplifier	SU
tulopwertá	thicken	VT
tulubesá	drop	VT
tulukrá	mature	SU
tulukrawé	ripen	VI
tumoavá	gild	VT
tumtaf	holy	AQ
tunalesá	drive through	VT
tunereva	abolitionism	SU
tunerevik	abolitionist	SU
tunigá	vex	VT
tunoelá	update	VT
tunuyalá	prepay	VT
tunuyalanaf	post-paid	AQ
tunuyalara	liberation	SU
tunuyalasik	rescuer	SU
tuomá	decrease	VT
tuopasiki	knife-grinder	SU
tuoriká	dim	VT
tuorikawé	darken	VI
turapalawé	abide by	VI
turci	vulture	SU
turestuca	influence	SU
turodá	dry	VT
turolá	falsify	VT
turontá	murder	VT
tursia	archipelago	SU
turwi	alimony	SU
tusanegá	publish	VT
tusanegara	publicity	SU
tutegisá	actuate	VT
tutená	cease	VT
tutrovgá	relay	VT
tutsoká	amplify	VT
tuvel	door	SU
tuvertá	regulate	VT
tuviá	slow	VT
tuviawé	slow	VI
tuvlardá	empty	VT
tuwarzá	renew	VT
tuwarzara	renewal	SU
tuwava	nature	SU
tuwavaf	natural	AQ
tuwavon	naturally	AV
tuwawá	impoverish	VT
tuwiiská	dazzle	VT
tuyatkawé	be infuriated	VI
tuzaf	agile	AQ
tuzatá	magnetize	VT
tuzawodá	exempt	VT
tuzda	commission	SU
tuzioná	slander	VT
tuzwá	pale	VT
tuzwawé	fade	VI
twa	letter	SU
twá	crack	VT
twara	crack	SU
tweem	piece of mail	SU
twern	pavement	SU
twoda	circular	SU
twom	affiliate	SU
u	dot	SU
ú	exert	VT
ucom	pocket	SU
uculé	suspect	VT